game_date,bref_id,team,opponent,player_name,is_home
2022-10-18,202210180BOS,BOS,PHI,Jayson Tatum,True
2022-10-18,202210180BOS,BOS,PHI,Jaylen Brown,True
2022-10-18,202210180BOS,BOS,PHI,Marcus Smart,True
2022-10-18,202210180BOS,BOS,PHI,Derrick White,True
2022-10-18,202210180BOS,BOS,PHI,Al Horford,True
2022-10-18,202210180BOS,PHI,BOS,Tyrese Maxey,False
2022-10-18,202210180BOS,PHI,BOS,James Harden,False
2022-10-18,202210180BOS,PHI,BOS,Joel Embiid,False
2022-10-18,202210180BOS,PHI,BOS,Tobias Harris,False
2022-10-18,202210180BOS,PHI,BOS,P.J. Tucker,False
2022-10-18,202210180GSW,GSW,LAL,Stephen Curry,True
2022-10-18,202210180GSW,GSW,LAL,Andrew Wiggins,True
2022-10-18,202210180GSW,GSW,LAL,Draymond Green,True
2022-10-18,202210180GSW,GSW,LAL,Kevon Looney,True
2022-10-18,202210180GSW,GSW,LAL,Klay Thompson,True
2022-10-18,202210180GSW,LAL,GSW,Anthony Davis,False
2022-10-18,202210180GSW,LAL,GSW,LeBron James,False
2022-10-18,202210180GSW,LAL,GSW,Russell Westbrook,False
2022-10-18,202210180GSW,LAL,GSW,Lonnie Walker IV,False
2022-10-18,202210180GSW,LAL,GSW,Patrick Beverley,False
2022-10-19,202210190ATL,ATL,HOU,Dejounte Murray,True
2022-10-19,202210190ATL,ATL,HOU,Trae Young,True
2022-10-19,202210190ATL,ATL,HOU,John Collins,True
2022-10-19,202210190ATL,ATL,HOU,De'Andre Hunter,True
2022-10-19,202210190ATL,ATL,HOU,Clint Capela,True
2022-10-19,202210190ATL,HOU,ATL,Kevin Porter Jr.,False
2022-10-19,202210190ATL,HOU,ATL,Jabari Smith Jr.,False
2022-10-19,202210190ATL,HOU,ATL,Jalen Green,False
2022-10-19,202210190ATL,HOU,ATL,Eric Gordon,False
2022-10-19,202210190ATL,HOU,ATL,Bruno Fernando,False
2022-10-19,202210190BRK,BKN,NOP,Kyrie Irving,True
2022-10-19,202210190BRK,BKN,NOP,Royce O'Neale,True
2022-10-19,202210190BRK,BKN,NOP,Kevin Durant,True
2022-10-19,202210190BRK,BKN,NOP,Nic Claxton,True
2022-10-19,202210190BRK,BKN,NOP,Ben Simmons,True
2022-10-19,202210190BRK,NOP,BKN,CJ McCollum,False
2022-10-19,202210190BRK,NOP,BKN,Brandon Ingram,False
2022-10-19,202210190BRK,NOP,BKN,Zion Williamson,False
2022-10-19,202210190BRK,NOP,BKN,Herbert Jones,False
2022-10-19,202210190BRK,NOP,BKN,Jonas ValanÄiÅ«nas,False
2022-10-19,202210190DET,DET,ORL,Cade Cunningham,True
2022-10-19,202210190DET,DET,ORL,Bojan BogdanoviÄ,True
2022-10-19,202210190DET,DET,ORL,Jaden Ivey,True
2022-10-19,202210190DET,DET,ORL,Saddiq Bey,True
2022-10-19,202210190DET,DET,ORL,Isaiah Stewart,True
2022-10-19,202210190DET,ORL,DET,Paolo Banchero,False
2022-10-19,202210190DET,ORL,DET,Franz Wagner,False
2022-10-19,202210190DET,ORL,DET,Wendell Carter Jr.,False
2022-10-19,202210190DET,ORL,DET,Terrence Ross,False
2022-10-19,202210190DET,ORL,DET,Jalen Suggs,False
2022-10-19,202210190IND,IND,WAS,Tyrese Haliburton,True
2022-10-19,202210190IND,IND,WAS,Buddy Hield,True
2022-10-19,202210190IND,IND,WAS,Terry Taylor,True
2022-10-19,202210190IND,IND,WAS,Jalen Smith,True
2022-10-19,202210190IND,IND,WAS,Chris Duarte,True
2022-10-19,202210190IND,WAS,IND,Bradley Beal,False
2022-10-19,202210190IND,WAS,IND,Kyle Kuzma,False
2022-10-19,202210190IND,WAS,IND,Kristaps PorziÅÄ£is,False
