game_id,game_date,game_time_utc,game_date_est,game_code,arena_name,arena_city,arena_state,home_team,away_team,home_score_sched,away_score_sched,espn_event_id,espn_game_name,espn_start,odds_provider_id,odds_provider_name,market_details,market_over_under_current,market_spread_current,market_home_ml_current,market_away_ml_current,market_home_spread_close,market_away_spread_close,market_home_spread_open,market_away_spread_open,market_total_close,market_total_open,market_total_current,market_home_ml_close,market_away_ml_close,market_home_implied_prob_close_raw,market_away_implied_prob_close_raw,market_home_implied_prob_close,market_away_implied_prob_close
0022500001,10/21/2025 00:00:00,2025-10-21 23:30:00+00:00,20251021,20251021/HOUOKC,Paycom Center,Oklahoma City,OK,OKC,HOU,125,124,401809243,Houston Rockets at Oklahoma City Thunder,2025-10-21T23:30Z,58,ESPN BET,OKC -6.5,224.5,-6.5,-240.0,200.0,-6.5,6.5,-7.5,7.5,224.5,226.5,224.5,-240.0,200.0,0.7058823529411765,0.3333333333333333,0.6792452830188679,0.32075471698113206
0022500002,10/21/2025 00:00:00,2025-10-22 02:00:00+00:00,20251021,20251021/GSWLAL,Crypto.com Arena,Los Angeles,CA,LAL,GSW,109,119,401809244,Golden State Warriors at Los Angeles Lakers,2025-10-22T02:00Z,58,ESPN BET,GS -2.5,227.5,2.5,130.0,-150.0,2.5,-2.5,2.5,-2.5,227.5,224.5,227.5,130.0,-150.0,0.43478260869565216,0.6,0.42016806722689076,0.5798319327731092
0022500003,10/22/2025 00:00:00,2025-10-22 23:00:00+00:00,20251022,20251022/CLENYK,Madison Square Garden,New York,NY,NYK,CLE,119,111,401809234,Cleveland Cavaliers at New York Knicks,2025-10-22T23:00Z,58,ESPN BET,CLE -1.5,228.5,1.5,100.0,-120.0,1.5,-1.5,-3.5,3.5,228.5,230.5,228.5,,-120.0,0.5,0.5454545454545454,0.4782608695652174,0.5217391304347826
0022500080,10/22/2025 00:00:00,2025-10-22 23:00:00+00:00,20251022,20251022/BKNCHA,Spectrum Center,Charlotte,NC,CHA,BKN,136,117,401809933,Brooklyn Nets at Charlotte Hornets,2025-10-22T23:00Z,58,ESPN BET,CHA -5.5,228.5,-5.5,-210.0,175.0,-5.5,5.5,-4.5,4.5,228.5,226.5,228.5,-210.0,175.0,0.6774193548387096,0.36363636363636365,0.6507042253521127,0.34929577464788736
0022500081,10/22/2025 00:00:00,2025-10-22 23:00:00+00:00,20251022,20251022/MIAORL,Kia Center,Orlando,FL,ORL,MIA,125,121,401809934,Miami Heat at Orlando Magic,2025-10-22T23:00Z,58,ESPN BET,ORL -8.5,215.5,-8.5,-340.0,270.0,-8.5,8.5,-8.5,8.5,215.5,216.5,215.5,-340.0,270.0,0.7727272727272727,0.2702702702702703,0.740871613663133,0.2591283863368669
0022500082,10/22/2025 00:00:00,2025-10-22 23:30:00+00:00,20251022,20251022/TORATL,State Farm Arena,Atlanta,GA,ATL,TOR,118,138,401809935,Toronto Raptors at Atlanta Hawks,2025-10-22T23:30Z,58,ESPN BET,ATL -5.5,237.5,-5.5,-215.0,180.0,-5.5,5.5,-5.5,5.5,237.5,236.5,237.5,-215.0,180.0,0.6825396825396826,0.35714285714285715,0.6564885496183206,0.34351145038167935
0022500083,10/22/2025 00:00:00,2025-10-22 23:30:00+00:00,20251022,20251022/PHIBOS,TD Garden,Boston,MA,BOS,PHI,116,117,401809936,Philadelphia 76ers at Boston Celtics,2025-10-22T23:30Z,58,ESPN BET,BOS -5.5,229.5,-5.5,-190.0,160.0,-5.5,5.5,-2.5,2.5,229.5,224.5,229.5,-190.0,160.0,0.6551724137931034,0.38461538461538464,0.6301020408163266,0.3698979591836735
0022500084,10/22/2025 00:00:00,2025-10-23 00:00:00+00:00,20251022,20251022/DETCHI,United Center,Chicago,IL,CHI,DET,115,111,401809937,Detroit Pistons at Chicago Bulls,2025-10-23T00:00Z,58,ESPN BET,DET -3.5,236.5,3.5,150.0,-175.0,3.5,-3.5,2.5,-2.5,236.5,234.5,236.5,150.0,-175.0,0.4,0.6363636363636364,0.3859649122807018,0.6140350877192983
0022500085,10/22/2025 00:00:00,2025-10-23 00:00:00+00:00,20251022,20251022/NOPMEM,FedExForum,Memphis,TN,MEM,NOP,128,122,401809938,New Orleans Pelicans at Memphis Grizzlies,2025-10-23T00:00Z,58,ESPN BET,MEM -3.5,236.5,-3.5,-175.0,150.0,-3.5,3.5,-3.5,3.5,236.5,236.5,236.5,-175.0,150.0,0.6363636363636364,0.4,0.6140350877192983,0.3859649122807018
0022500086,10/22/2025 00:00:00,2025-10-23 00:00:00+00:00,20251022,20251022/WASMIL,Fiserv Forum,Milwaukee,WI,MIL,WAS,133,120,401809939,Washington Wizards at Milwaukee Bucks,2025-10-23T00:00Z,58,ESPN BET,MIL -8.5,228.5,-8.5,-380.0,290.0,,,-8.5,8.5,,228.5,228.5,,,0.7916666666666666,0.2564102564102564,0.7553516819571866,0.24464831804281348
0022500087,10/22/2025 00:00:00,2025-10-23 01:00:00+00:00,20251022,20251022/LACUTA,Delta Center,Salt Lake City,UT,UTA,LAC,129,108,401809940,LA Clippers at Utah Jazz,2025-10-23T01:00Z,58,ESPN BET,LAC -10.5,225.5,10.5,290.0,-380.0,10.5,-10.5,8.5,-8.5,225.5,226.5,225.5,290.0,-380.0,0.2564102564102564,0.7916666666666666,0.24464831804281348,0.7553516819571866
0022500004,10/22/2025 00:00:00,2025-10-23 01:30:00+00:00,20251022,20251022/SASDAL,American Airlines Center,Dallas,TX,DAL,SAS,92,125,401809235,San Antonio Spurs at Dallas Mavericks,2025-10-23T01:47Z,58,ESPN BET,DAL -3.5,223.5,-3.5,-170.0,145.0,-3.5,3.5,-2.5,2.5,223.5,226.5,223.5,-170.0,145.0,0.6296296296296297,0.40816326530612246,0.6067006554989074,0.39329934450109244
0022500088,10/22/2025 00:00:00,2025-10-23 02:00:00+00:00,20251022,20251022/SACPHX,Mortgage Matchup Center,Phoenix,AZ,PHX,SAC,120,116,401809941,Sacramento Kings at Phoenix Suns,2025-10-23T02:00Z,58,ESPN BET,PHX -3.5,228.5,-3.5,-170.0,145.0,-3.5,3.5,-1.5,1.5,228.5,228.5,228.5,-170.0,145.0,0.6296296296296297,0.40816326530612246,0.6067006554989074,0.39329934450109244
0022500089,10/22/2025 00:00:00,2025-10-23 02:00:00+00:00,20251022,20251022/MINPOR,Moda Center,Portland,OR,POR,MIN,114,118,401809942,Minnesota Timberwolves at Portland Trail Blazers,2025-10-23T02:00Z,58,ESPN BET,MIN -4.5,222.5,4.5,160.0,-190.0,4.5,-4.5,3.5,-3.5,222.5,220.5,222.5,160.0,-190.0,0.38461538461538464,0.6551724137931034,0.3698979591836735,0.6301020408163266
0022500005,10/23/2025 00:00:00,2025-10-23 23:30:00+00:00,20251023,20251023/OKCIND,Gainbridge Fieldhouse,Indianapolis,IN,IND,OKC,135,141,401809236,Oklahoma City Thunder at Indiana Pacers,2025-10-23T23:30Z,58,ESPN BET,OKC -7.5,230.5,7.5,240.0,-290.0,7.5,-7.5,7.5,-7.5,230.5,228.5,230.5,240.0,-290.0,0.29411764705882354,0.7435897435897436,0.28343023255813954,0.7165697674418604
0022500006,10/23/2025 00:00:00,2025-10-24 02:00:00+00:00,20251023,20251023/DENGSW,Chase Center,San Francisco,CA,GSW,DEN,137,131,401809237,Denver Nuggets at Golden State Warriors,2025-10-24T02:17Z,58,ESPN BET,GS -1.5,232.5,-1.5,-115.0,-105.0,-1.5,1.5,1.5,-1.5,232.5,234.5,232.5,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.5108342361863488,0.4891657638136511
0022500092,10/24/2025 00:00:00,2025-10-24 22:30:00+00:00,20251024,20251024/MILTOR,Scotiabank Arena,Toronto,ON,TOR,MIL,116,122,401809946,Milwaukee Bucks at Toronto Raptors,2025-10-24T22:30Z,58,ESPN BET,TOR -2.5,235.5,-2.5,-130.0,110.0,-2.5,2.5,-1.5,1.5,235.5,229.5,235.5,-130.0,110.0,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.4572564612326044
0022500090,10/24/2025 00:00:00,2025-10-24 23:00:00+00:00,20251024,20251024/ATLORL,Kia Center,Orlando,FL,ORL,ATL,107,111,401809943,Atlanta Hawks at Orlando Magic,2025-10-24T23:00Z,58,ESPN BET,ORL -5.5,235.5,-5.5,-215.0,180.0,-5.5,5.5,-5.5,5.5,235.5,228.5,235.5,-215.0,180.0,0.6825396825396826,0.35714285714285715,0.6564885496183206,0.34351145038167935
0022500018,10/24/2025 00:00:00,2025-10-24 23:30:00+00:00,20251024,20251024/BOSNYK,Madison Square Garden,New York,NY,NYK,BOS,105,95,401809945,Boston Celtics at New York Knicks,2025-10-24T23:30Z,58,ESPN BET,NY -4.5,231.5,-4.5,-170.0,145.0,-4.5,4.5,-6.5,6.5,231.5,226.5,231.5,-170.0,145.0,0.6296296296296297,0.40816326530612246,0.6067006554989074,0.39329934450109244
0022500091,10/24/2025 00:00:00,2025-10-24 23:30:00+00:00,20251024,20251024/CLEBKN,Barclays Center,Brooklyn,NY,BKN,CLE,124,131,401809944,Cleveland Cavaliers at Brooklyn Nets,2025-10-24T23:30Z,58,ESPN BET,CLE -11.5,230.5,11.5,475.0,-750.0,11.5,-11.5,13.5,-13.5,230.5,227.5,230.5,475.0,-750.0,0.17391304347826086,0.8823529411764706,0.1646489104116223,0.8353510895883778
0022500093,10/24/2025 00:00:00,2025-10-25 00:00:00+00:00,20251024,20251024/DETHOU,Toyota Center,Houston,TX,HOU,DET,111,115,401809947,Detroit Pistons at Houston Rockets,2025-10-25T00:00Z,58,ESPN BET,HOU -6.5,226.5,-6.5,-270.0,220.0,-6.5,6.5,-5.5,5.5,226.5,226.5,226.5,-270.0,220.0,0.7297297297297297,0.3125,0.7001620745542949,0.299837925445705
0022500094,10/24/2025 00:00:00,2025-10-25 00:00:00+00:00,20251024,20251024/MIAMEM,FedExForum,Memphis,TN,MEM,MIA,114,146,401809948,Miami Heat at Memphis Grizzlies,2025-10-25T00:00Z,58,ESPN BET,MEM -3.5,232.5,-3.5,-150.0,130.0,-3.5,3.5,-4.5,4.5,232.5,232.5,232.5,-150.0,130.0,0.6,0.43478260869565216,0.5798319327731092,0.42016806722689076
0022500095,10/24/2025 00:00:00,2025-10-25 00:00:00+00:00,20251024,20251024/SASNOP,Smoothie King Center,New Orleans,LA,NOP,SAS,116,120,401809949,San Antonio Spurs at New Orleans Pelicans,2025-10-25T00:00Z,58,ESPN BET,SA -3.5,233.5,3.5,140.0,-165.0,3.5,-3.5,3.5,-3.5,233.5,231.5,233.5,140.0,-165.0,0.4166666666666667,0.6226415094339622,0.40090771558245086,0.5990922844175491
0022500096,10/24/2025 00:00:00,2025-10-25 00:30:00+00:00,20251024,20251024/WASDAL,American Airlines Center,Dallas,TX,DAL,WAS,107,117,401809950,Washington Wizards at Dallas Mavericks,2025-10-25T00:30Z,58,ESPN BET,DAL -9.5,228.5,-9.5,-425.0,320.0,-9.5,9.5,-12.5,12.5,228.5,227.5,228.5,-425.0,320.0,0.8095238095238095,0.23809523809523808,0.7727272727272727,0.22727272727272724
0022500019,10/24/2025 00:00:00,2025-10-25 02:00:00+00:00,20251024,20251024/MINLAL,Crypto.com Arena,Los Angeles,CA,LAL,MIN,128,110,401809951,Minnesota Timberwolves at Los Angeles Lakers,2025-10-25T02:00Z,58,ESPN BET,MIN -1.5,225.5,1.5,105.0,-125.0,1.5,-1.5,1.5,-1.5,225.5,236.5,225.5,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.4675324675324675,0.5324675324675325
0022500097,10/24/2025 00:00:00,2025-10-25 02:00:00+00:00,20251024,20251024/GSWPOR,Moda Center,Portland,OR,POR,GSW,139,119,401809952,Golden State Warriors at Portland Trail Blazers,2025-10-25T02:00Z,58,ESPN BET,GS -2.5,228.5,2.5,130.0,-150.0,2.5,-2.5,1.5,-1.5,228.5,226.5,228.5,130.0,-150.0,0.43478260869565216,0.6,0.42016806722689076,0.5798319327731092
